CSGroup,Profit Ratio,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,SC group,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category (group) 2,Sub-Category (group) 3,Sub-Category (group) 4,Sub-Category (group) 5,Sub-Category (group) 6,Sub-Category (group),Sub-Category
A&B,16.0,Furniture,Henderson,United States,Claire Gute,0.0,1,2017-11-08,CA-2017-152156,42420.0,Bush,Bush Somerset Collection Bookcase,42.0,2,South,"Binders, Bookcases, Chairs and 3 more",262.0,Consumer,2017-11-11,Second Class,Kentucky,Losses,Losses,Losses,"Bookcases, Supplies, Tables","Bookcases, Supplies, Tables","Bookcases, Supplies, Tables",Bookcases
CEF,30.0,Furniture,Henderson,United States,Claire Gute,0.0,1,2017-11-08,CA-2017-152156,42420.0,Hon,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",220.0,3,South,"Binders, Bookcases, Chairs and 3 more",732.0,Consumer,2017-11-11,Second Class,Kentucky,High Profits,Profits,Profits,Chairs,Chairs,Rest,Chairs
Rest,47.0,Office Supplies,Los Angeles,United States,Darrin Van Huff,0.0,1,2017-06-12,CA-2017-138688,90036.0,Universal,Self-Adhesive Address Labels for Typewriters by Universal,7.0,2,West,Labels,15.0,Corporate,2017-06-16,Second Class,California,Less Profit,Profits,Profits,Labels,Labels,Rest,Labels
Rest,-40.0,Furniture,Fort Lauderdale,United States,Sean O'Donnell,45.0,1,2016-10-11,US-2016-108966,33311.0,Bretford,Bretford CR4500 Series Slim Rectangular Table,-383.0,5,South,Tables,958.0,Consumer,2016-10-18,Standard Class,Florida,Losses,Losses,Losses,"Bookcases, Supplies, Tables","Bookcases, Supplies, Tables","Bookcases, Supplies, Tables",Tables
Rest,11.0,Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,20.0,1,2016-10-11,US-2016-108966,33311.0,Eldon,Eldon Fold 'N Roll Cart System,3.0,2,South,Storage,22.0,Consumer,2016-10-18,Standard Class,Florida,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
CEF,29.0,Furniture,Los Angeles,United States,Brosina Hoffman,0.0,1,2015-06-09,CA-2015-115812,90032.0,Eldon,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14.0,7,West,Furnishings,49.0,Consumer,2015-06-14,Standard Class,California,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
A&B,27.0,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.0,1,2015-06-09,CA-2015-115812,90032.0,Newell,Newell 322,2.0,4,West,"Accessories, Appliances, Art",7.0,Consumer,2015-06-14,Standard Class,California,Less Profit,Profits,Profits,Art,Art,Rest,Art
Rest,10.0,Technology,Los Angeles,United States,Brosina Hoffman,20.0,1,2015-06-09,CA-2015-115812,90032.0,Mitel,Mitel 5320 IP Phone VoIP phone,91.0,6,West,Phones,907.0,Consumer,2015-06-14,Standard Class,California,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
A&B,31.0,Office Supplies,Los Angeles,United States,Brosina Hoffman,20.0,1,2015-06-09,CA-2015-115812,90032.0,DXL,DXL Angle-View Binders with Locking Rings by Samsill,6.0,3,West,"Binders, Bookcases, Chairs and 3 more",19.0,Consumer,2015-06-14,Standard Class,California,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
A&B,30.0,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.0,1,2015-06-09,CA-2015-115812,90032.0,Belkin,Belkin F5C206VTEL 6 Outlet Surge,34.0,5,West,"Accessories, Appliances, Art",115.0,Consumer,2015-06-14,Standard Class,California,High Profits,Profits,Profits,Appliances,Appliances,Rest,Appliances
Rest,5.0,Furniture,Los Angeles,United States,Brosina Hoffman,20.0,1,2015-06-09,CA-2015-115812,90032.0,Chromcraft,Chromcraft Rectangular Conference Tables,85.0,9,West,Tables,1706.0,Consumer,2015-06-14,Standard Class,California,Losses,Losses,Losses,"Bookcases, Supplies, Tables","Bookcases, Supplies, Tables","Bookcases, Supplies, Tables",Tables
